TIPIFICACION,FECHA_DE_AVISO,DIA,MES,HORA_AVISO,COLONIA_SUCESO,OXXO
1,16/07/2013,2,7,10:01:00 p. m.,1,0
1,06/09/2013,0,9,08:20:00 p. m.,1,0
1,15/01/2013,2,1,09:18:00 a. m.,2,1
1,03/08/2013,6,8,12:16:00 p. m.,3,7
1,31/10/2013,4,10,02:10:00 p. m.,3,7
1,29/03/2013,0,3,07:05:00 p. m.,4,0
1,21/04/2013,1,4,08:53:00 a. m.,4,0
1,23/08/2013,0,8,08:49:00 a. m.,4,0
1,17/03/2013,7,3,10:01:00 p. m.,5,0
1,11/08/2013,7,8,12:15:00 a. m.,5,0
1,26/04/2013,0,4,05:16:00 a. m.,6,0
1,21/10/2013,1,10,02:48:00 p. m.,7,1
1,19/04/2013,0,4,09:34:00 a. m.,8,0
1,24/04/2013,3,4,01:52:00 p. m.,8,0
1,14/09/2013,6,9,02:09:00 a. m.,9,0
1,08/12/2013,7,12,11:05:00 a. m.,9,0
1,13/04/2013,7,4,11:23:00 p. m.,10,0
1,17/03/2013,7,3,01:58:00 a. m.,11,0
1,24/12/2013,2,12,04:59:00 p. m.,11,0
1,10/09/2013,2,9,02:20:00 p. m.,12,0
1,26/05/2013,7,5,08:18:00 p. m.,13,0
1,02/09/2013,1,9,09:09:00 a. m.,13,0
1,06/04/2013,7,4,09:40:00 p. m.,14,0
1,19/07/2013,0,7,04:49:00 a. m.,15,0
1,21/08/2013,3,8,06:05:00 p. m.,16,0
1,01/09/2013,7,9,12:32:00 a. m.,17,0
1,24/11/2013,7,11,01:33:00 a. m.,17,0
1,25/03/2013,1,3,11:24:00 p. m.,18,0
1,21/11/2013,4,11,11:51:00 p. m.,18,0
1,04/12/2013,3,12,08:34:00 p. m.,18,0
1,04/02/2013,1,2,03:23:00 p. m.,19,0
1,18/08/2013,FALSO,8,06:45:00 p. m.,19,0
1,01/09/2013,FALSO,9,05:06:00 a. m.,19,0
1,13/12/2013,0,12,05:27:00 a. m.,19,0
1,25/10/2013,0,10,08:57:00 p. m.,20,0
1,23/02/2013,FALSO,2,01:42:00 a. m.,21,0
1,23/03/2013,FALSO,3,10:24:00 a. m.,21,0
1,19/05/2013,FALSO,5,04:12:00 p. m.,22,0
1,09/02/2013,FALSO,2,04:18:00 a. m.,23,0
1,20/07/2013,FALSO,7,11:20:00 p. m.,23,0
1,06/10/2013,FALSO,10,10:40:00 p. m.,23,0
1,26/10/2013,FALSO,10,11:57:00 p. m.,23,0
1,02/09/2013,1,9,08:42:00 a. m.,24,0
1,20/07/2013,FALSO,7,03:14:00 p. m.,25,0
1,23/08/2013,0,8,06:20:00 p. m.,25,0
1,01/09/2013,FALSO,9,10:36:00 p. m.,26,0
1,01/03/2013,0,3,10:25:00 p. m.,27,0
1,27/04/2013,FALSO,4,10:47:00 p. m.,27,0
1,07/07/2013,FALSO,7,08:08:00 p. m.,27,0
1,13/07/2013,FALSO,7,08:31:00 p. m.,27,0
1,04/08/2013,FALSO,8,09:22:00 a. m.,27,0
1,04/08/2013,FALSO,8,09:56:00 a. m.,27,0
1,11/08/2013,FALSO,8,03:13:00 a. m.,27,0
1,12/08/2013,1,8,10:33:00 a. m.,27,0
1,18/08/2013,FALSO,8,11:50:00 a. m.,27,0
1,04/09/2013,3,9,12:54:00 p. m.,27,0
1,10/09/2013,2,9,12:03:00 p. m.,27,0
1,22/09/2013,FALSO,9,07:04:00 p. m.,27,0
1,22/09/2013,FALSO,9,08:27:00 p. m.,27,0
1,30/11/2013,FALSO,11,10:32:00 a. m.,27,0
1,15/12/2013,FALSO,12,07:29:00 a. m.,27,0
1,30/12/2013,1,12,01:54:00 p. m.,27,0
1,05/04/2013,0,4,07:41:00 p. m.,28,0
1,28/06/2013,0,6,12:08:00 a. m.,28,0
1,12/06/2013,3,6,12:26:00 a. m.,29,0
1,17/08/2013,FALSO,8,01:13:00 a. m.,29,0
1,03/11/2013,FALSO,11,08:32:00 a. m.,29,0
1,19/12/2013,4,12,09:10:00 p. m.,29,0
1,27/06/2013,4,6,05:51:00 p. m.,30,0
1,15/10/2013,2,10,08:22:00 p. m.,31,0
1,18/11/2013,1,11,10:19:00 a. m.,31,0
1,08/12/2013,FALSO,12,11:38:00 a. m.,31,0
1,01/01/2013,2,1,07:37:00 p. m.,32,0
1,18/01/2013,0,1,08:09:00 p. m.,32,0
1,07/03/2013,4,3,04:23:00 p. m.,32,0
1,10/03/2013,FALSO,3,12:40:00 a. m.,32,0
1,29/03/2013,0,3,11:11:00 p. m.,32,0
1,05/04/2013,0,4,10:42:00 p. m.,32,0
1,06/04/2013,FALSO,4,11:02:00 p. m.,32,0
1,09/04/2013,2,4,08:04:00 p. m.,32,0
1,20/04/2013,FALSO,4,09:07:00 p. m.,32,0
1,20/04/2013,FALSO,4,11:13:00 p. m.,32,0
1,04/05/2013,FALSO,5,09:05:00 p. m.,32,0
1,05/05/2013,FALSO,5,08:57:00 p. m.,32,0
1,09/05/2013,4,5,01:20:00 a. m.,32,0
1,19/05/2013,FALSO,5,04:10:00 a. m.,32,0
1,19/05/2013,FALSO,5,09:12:00 a. m.,32,0
1,15/06/2013,FALSO,6,01:03:00 a. m.,32,0
1,22/06/2013,FALSO,6,01:58:00 a. m.,32,0
