TIPIFICACION,FECHA_DE_AVISO,DIA,MES,HORA_AVISO,COLONIA_SUCESO,oxxo
1,41471,2,7,0.917361111,1,0
1,41523,2,9,0.847222222,1,0
1,41289,2,1,0.3875,2,1
1,41489,6,8,0.511111111,3,7
1,41578,4,10,0.590277778,3,7
1,41362,4,3,0.795138889,4,0
1,41385,1,4,0.370138889,4,0
1,41509,7,8,0.367361111,4,0
1,41350,7,3,0.917361111,5,0
1,41497,7,8,0.010416667,5,0
1,41390,7,4,0.219444444,6,0
1,41568,1,10,0.616666667,7,1
1,41383,1,4,0.398611111,8,0
1,41388,5,4,0.577777778,8,0
1,41531,6,9,0.089583333,9,0
1,41616,7,12,0.461805556,9,0
1,41377,7,4,0.974305556,10,0
1,41350,7,3,0.081944444,11,0
1,41632,2,12,0.707638889,11,0
1,41527,2,9,0.597222222,12,0
1,41420,7,5,0.845833333,13,0
1,41519,1,9,0.38125,13,0
1,41370,7,4,0.902777778,14,0
1,41474,6,7,0.200694444,15,0
1,41507,5,8,0.753472222,16,0
1,41518,7,9,0.022222222,17,0
1,41602,7,11,0.064583333,17,0
1,41358,1,3,0.975,18,0
1,41599,4,11,0.99375,18,0
1,41612,4,12,0.856944444,18,0
1,41309,1,2,0.640972222,19,0
1,41504,1,8,0.78125,19,0
1,41518,7,9,0.2125,19,0
1,41621,7,12,0.227083333,19,0
1,41572,7,10,0.872916667,20,0
1,41328,5,2,0.070833333,21,0
1,41356,6,3,0.433333333,21,0
1,41413,5,5,0.675,22,0
1,41314,7,2,0.179166667,23,0
1,41475,6,7,0.972222222,23,0
1,41553,6,10,0.944444444,23,0
1,41573,7,10,0.997916667,23,0
1,41519,1,9,0.3625,24,0
1,41475,1,7,0.634722222,25,0
1,41509,6,8,0.763888889,25,0
1,41518,5,9,0.941666667,26,0
1,41334,7,3,0.934027778,27,0
1,41391,5,4,0.949305556,27,0
1,41462,6,7,0.838888889,27,0
1,41468,7,7,0.854861111,27,0
1,41490,7,8,0.390277778,27,0
1,41490,7,8,0.413888889,27,0
1,41497,7,8,0.134027778,27,0
1,41498,1,8,0.439583333,27,0
1,41504,1,8,0.493055556,27,0
1,41521,7,9,0.5375,27,0
1,41527,2,9,0.502083333,27,0
1,41539,2,9,0.794444444,27,0
1,41539,7,9,0.852083333,27,0
1,41608,7,11,0.438888889,27,0
1,41623,6,12,0.311805556,27,0
1,41638,1,12,0.579166667,27,0
1,41369,1,4,0.820138889,28,0
1,41453,5,6,0.005555556,28,0
1,41437,5,6,0.018055556,29,0
