Colonia,tipificaciones,oxxo
BARRANCA DEL PEDREGAL,2,0
COLONIA FUENTES DEL VALLE,1,1
DEL VALLE,2,7
EL OBISPO,3,0
EL OBISPO II,2,0
FRACC SANTA BARBARA,1,0
FUENTES DEL VALLE SECT 7 COLINAS,1,1
JARDINES DEL VALLE,2,0
JESUS M. GARZA,2,0
LA BARRANCA,1,0
LAS CANTERAS,2,0
LAS CAPILLAS,1,0
LAZARO GARZA AYALA,2,0
LINDAVISTA,1,0
LOMAS DE SAN AGUSTIN SECT,1,0
LOMAS DE SAN ANGEL,1,0
LOMAS DE TAMPIQUITO,2,0
LOS PINOS,3,0
LOS SAUCES,4,0
LUIS ECHEVERRIA ALVAREZ,1,0
NEMECIO GARCIA NARANJO,2,0
PLAN DE AYALA,1,0
PROVIVIENDA,4,0
RES PALO BLANCO,1,0
RES SAN FRANCISCO,2,0
RES SANTA BARBARA,1,0
REVOLUCION 2,16,0
RINCON COLONIAL,2,0
RINCON DE CORREGIDORA,4,0
RINCON DE LA MONTAÑA,1,0
RINCON DE SAN FRANCISCO,3,0
SAN PEDRO 400,45,0
SANTA BARBARA,3,0
SANTA ELENA,1,0
SIERRA MADRE,1,0
TAMPIQUITO,3,0
UNIDAD SAN PEDRO,5,0
VALLE DE SAN AGUSTIN,1,0
VALLE DE SANTA ENGRACIA,2,0
VALLE DEL MIRADOR,3,0
VALLE ORIENTE,2,0
VISTA MONTAÑA,10,0
